fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-09,11:45,Barcelona vs Feyenoord,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,99.7%,0.997400,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,103.74,103.743000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,99.1%,0.990900,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,98.09,98.092000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,99.0%,0.989600,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,102.96,102.962000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,98.6%,0.986200,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,97.62,97.619000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,98.1%,0.981000,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,97.10,97.101000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,Betano,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,CARDS_TOTALS:UNDER_4_5,96.4%,0.963600,1.04,,,,,,1.28,0.23,0.233400,0.24,1.23,Sin cuota/EV,EV positivo Betano,Solo modelo,3,112.09,112.093000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,96.3%,0.962700,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,95.27,95.265000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,CARDS_AWAY:UNDER_2_5,95.3%,0.952600,1.05,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,94.26,94.258000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,CARDS_HOME:UNDER_2_5,92.0%,0.919700,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,90.97,90.970000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,10Bet,,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,91.9%,0.919200,1.09,1.28,0.18,0.176600,0.19,1.18,,,,,,EV positivo,No encontrado en Betano,Seguro,10,146.10,146.103000,,Betano mapeado,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
