fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,97.0%,0.970000,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,98.00,98.000000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,96.6%,0.966200,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,97.62,97.623000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,92.7%,0.927300,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,93.73,93.726000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,Local tarjetas +0.5,CARDS_HOME OVER.0.5,CARDS_HOME:OVER_0_5,92.6%,0.925700,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,93.57,93.573000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,90.9%,0.909100,1.10,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,96.91,96.911000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,89.3%,0.893100,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,90.31,90.313000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,CARDS_AWAY:UNDER_2_5,87.9%,0.879500,1.14,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,88.95,88.949000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,Local corners -6.5,CORNERS_HOME UNDER.6.5,CORNERS_HOME:UNDER_6_5,86.8%,0.867500,1.15,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,100.75,100.746000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,,,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL:OVER_22_5,85.2%,0.851700,1.17,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,86.17,86.170000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
2026-09-10,11:45,Fenerbahçe vs AS Roma,10Bet,Betano,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,83.8%,0.837600,1.19,1.85,0.55,0.549600,0.66,1.55,1.25,0.05,0.047000,0.06,1.05,EV positivo,EV positivo Betano,Seguro,10,153.41,153.405000,,Betano mapeado,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fenerbahce-sk-as-roma/91591760/,fallback ultimos partidos,fallback ultimos partidos,10,16.0,9.0,2026-09-05 · Süper Lig · Fenerbahçe 1-2 Beşiktaş (P); 2026-08-30 · Süper Lig · Samsunspor 0-2 Fenerbahçe (G); 2026-08-26 · UEFA Champions League · Lyon 1-2 Fenerbahçe (G); 2026-08-22 · Süper Lig · Fenerbahçe 4-2 Konyaspor (G); 2026-08-18 · UEFA Champions League · Fenerbahçe 1-1 Lyon (E); 2026-08-15 · Süper Lig · Gençlerbirliği S.K. 2-1 Fenerbahçe (P); 2026-08-11 · UEFA Champions League · Sturm Graz 0-1 Fenerbahçe (G); 2026-08-05 · UEFA Champions League · Fenerbahçe 2-0 Sturm Graz (G); 2026-07-29 · UEFA Champions League · Gornik Zabrze 1-1 Fenerbahçe (E); 2026-07-21 · UEFA Champions League · Fenerbahçe 1-0 Gornik Zabrze (G),fallback ultimos partidos,10,24.0,14.0,2026-09-05 · Serie A · AS Roma 2-1 Atalanta (G); 2026-08-31 · Serie A · Lecce 0-4 AS Roma (G); 2026-08-24 · Serie A · AS Roma 4-0 Fiorentina (G); 2026-08-15 · Friendlies Clubs · Borussia Dortmund 2-2 AS Roma (E); 2026-08-08 · Friendlies Clubs · Brighton 3-0 AS Roma (P); 2026-08-04 · Friendlies Clubs · Newport County 1-4 AS Roma (G); 2026-08-01 · Friendlies Clubs · Cardiff 4-1 AS Roma (P); 2026-07-26 · Friendlies Clubs · Cannes 3-3 AS Roma (E); 2026-05-24 · Serie A · Hellas Verona 0-2 AS Roma (G); 2026-05-17 · Serie A · AS Roma 2-0 Lazio (G)
