fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-14,11:30,Como vs Parma,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,100.0%,0.999600,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,102.96,102.961000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,99.6%,0.995500,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,107.55,107.547000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,CARDS_HOME:UNDER_2_5,99.5%,0.995200,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,102.52,102.520000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,98.4%,0.983900,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.39,101.394000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,98.3%,0.983400,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,106.34,106.344000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,97.0%,0.969800,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,112.98,112.979000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,95.7%,0.957400,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,98.74,98.743000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,95.7%,0.957400,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.74,111.736000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Local tarjetas -1.5,CARDS_HOME UNDER.1.5,CARDS_HOME:UNDER_1_5,95.5%,0.955500,1.05,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,98.55,98.545000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,Betano,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,CARDS_TOTALS:UNDER_4_5,94.7%,0.947300,1.06,,,,,,1.36,0.29,0.288300,0.30,1.29,Sin cuota/EV,EV positivo Betano,Solo modelo,3,115.35,115.348000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
2026-09-14,11:30,Como vs Parma,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,91.2%,0.911700,1.10,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,94.17,94.168000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/como-1907-parma-calcio-1913/91542722/,torneo actual,torneo actual,3,7.0,3.0,2026-09-04 · Serie A · Genoa 1-4 Como (G); 2026-08-30 · Serie A · Napoli 1-2 Como (G); 2026-08-22 · Serie A · Udinese 1-1 Como (E),torneo actual,3,1.0,4.0,2026-09-06 · Serie A · Parma 1-1 Monza (E); 2026-08-29 · Serie A · Juventus 2-0 Parma (P); 2026-08-22 · Serie A · Parma 0-1 Cagliari (P)
