fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,91.0%,0.910300,1.10,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,103.03,103.028000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,82.2%,0.822300,1.22,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,94.23,94.228000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,DOUBLE_CHANCE 1X,DOUBLE_CHANCE 1X,DOUBLE_CHANCE:1X,77.0%,0.770200,1.30,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,118.03,118.025000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,76.5%,0.765100,1.31,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,10,122.51,122.507000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,DOUBLE_CHANCE:12,76.2%,0.762300,1.31,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,117.23,117.230000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,Local goles -2.5,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME:UNDER_2_5,75.0%,0.749900,1.33,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,86.99,86.990000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,1T -1.5,FIRST_HALF_TOTALS UNDER.1.5,FIRST_HALF_TOTALS:UNDER_1_5,73.6%,0.735800,1.36,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,5,98.58,98.576000,,Betano no expuesto,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,Visita goles -1.5,TEAM_TOTAL_AWAY UNDER.1.5,TEAM_TOTAL_AWAY:UNDER_1_5,71.7%,0.717400,1.39,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,83.74,83.740000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,DNB local,DRAW_NO_BET HOME,DRAW_NO_BET:HOME,69.9%,0.698600,1.43,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,110.86,110.860000,,Betano no expuesto,Media,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
2026-09-23,08:00,Japan U18 vs Ukraine U18,,,Goles -3.5,TOTALS UNDER.3.5,TOTALS:UNDER_3_5,69.7%,0.696900,1.44,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,10,115.69,115.691000,,Betano no expuesto,Media,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,fallback ultimos partidos,fallback ultimos partidos,5,10.0,7.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (G); 2025-12-20 · Friendlies · Japan U18 2-0 Australia U20 (G); 2025-12-19 · Friendlies · Japan U18 2-4 Spain U19 (P); 2025-09-07 · Friendlies · France U21 1-1 Japan U18 (E); 2025-09-05 · Friendlies · Saudi Arabia U18 1-3 Japan U18 (G),fallback ultimos partidos,10,7.0,12.0,2026-09-23 · Friendlies · Japan U18 2-1 Ukraine U18 (P); 2026-06-09 · Friendlies · Turkey U18 0-1 Ukraine U18 (G); 2026-06-06 · Friendlies · Ukraine U18 1-1 Norway U18 (E); 2026-06-04 · Friendlies · Ukraine U18 0-0 Finland U18 (E); 2026-02-19 · Friendlies · Italy U18 0-1 Ukraine U18 (G); 2026-02-17 · Friendlies · Italy U18 2-2 Ukraine U18 (E); 2025-10-14 · Friendlies · Ukraine U18 0-2 Norway U19 (P); 2025-10-11 · Friendlies · Ukraine U18 1-0 Wales U18 (G); 2025-10-08 · Friendlies · Croatia U18 2-0 Ukraine U18 (P); 2025-09-09 · Friendlies · Ukraine U18 0-3 Denmark U18 (P)
