fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Local corners +3.5,CORNERS_HOME OVER.3.5,97.9%,0.978800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Corners total +7.5,CORNERS_TOTALS OVER.7.5,96.8%,0.968400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Local corners +4.5,CORNERS_HOME OVER.4.5,94.5%,0.945000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,94.1%,0.941000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Corners total +8.5,CORNERS_TOTALS OVER.8.5,93.8%,0.937900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,CARDS_AWAY UNDER.3.5,CARDS_AWAY UNDER.3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,CARDS_HOME OVER.0.5,CARDS_HOME OVER.0.5,91.8%,0.917900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME OVER.0.5,91.1%,0.911000,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Goles +1.5,TOTALS OVER.1.5,90.2%,0.902200,1.75,0.58,0.578800,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Corners total +9.5,CORNERS_TOTALS OVER.9.5,89.1%,0.890600,1.91,0.70,0.701000,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,CARDS_Goles -6.5,CARDS_TOTALS UNDER.6.5,88.9%,0.889300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Local corners +5.5,CORNERS_HOME OVER.5.5,88.4%,0.884300,1.60,0.41,0.414900,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,87.2%,0.871500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,Corners total +10.5,CORNERS_TOTALS OVER.10.5,82.4%,0.824300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,81.5%,0.815100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-24,14:00,Bosnia & Herzegovina vs Qatar,10Bet,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,81.0%,0.809900,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
