fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,99.2%,0.991700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,97.6%,0.976100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME UNDER.2.5,95.1%,0.951200,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,94.2%,0.942300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,94.0%,0.939700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Local corners -6.5,CORNERS_HOME UNDER.6.5,93.5%,0.934700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Visita tarjetas -3.5,Visita tarjetas -3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Local tarjetas +0.5,Local tarjetas +0.5,91.8%,0.917900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY OVER.0.5,89.4%,0.894100,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,88.9%,0.889300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL OVER.7.5,88.6%,0.886300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL OVER.24.5,88.1%,0.881200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,DOUBLE_CHANCE X2,DOUBLE_CHANCE X2,88.0%,0.880100,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
