fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-07-01,11:00,England vs Congo DR,10Bet,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,99.5%,0.995100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,99.0%,0.989900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,97.4%,0.974200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,97.0%,0.969700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,96.8%,0.968200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,93.2%,0.932000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY UNDER.2.5,92.0%,0.919700,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,91.2%,0.912200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,91.2%,0.911700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,89.7%,0.896900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners +3.5,CORNERS_HOME OVER.3.5,87.6%,0.876200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Local tarjetas -1.5,CARDS_HOME UNDER.1.5,85.6%,0.855600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Visita corners -4.5,CORNERS_AWAY UNDER.4.5,84.2%,0.842500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,81.1%,0.811200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME OVER.0.5,80.2%,0.802100,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,79.7%,0.796600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,79.2%,0.792400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,78.7%,0.786600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME UNDER.2.5,77.8%,0.778200,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,DOUBLE_CHANCE 1X,DOUBLE_CHANCE 1X,76.6%,0.766400,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-01,11:00,England vs Congo DR,10Bet,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,76.6%,0.765900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners +4.5,CORNERS_HOME OVER.4.5,75.7%,0.757100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.9.5,SHOTS_ON_TARGET_TOTAL UNDER.9.5,75.7%,0.757000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,75.2%,0.752000,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-01,11:00,England vs Congo DR,10Bet,Goles +1.5,TOTALS OVER.1.5,73.6%,0.736400,2.05,0.51,0.509600,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_AWAY UNDER.1.5,TEAM_TOTAL_AWAY UNDER.1.5,73.6%,0.735800,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Goles -3.5,TOTALS UNDER.3.5,73.2%,0.731700,1.30,-0.05,-0.048800,EV negativo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total +7.5,CORNERS_TOTALS OVER.7.5,69.5%,0.695200,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,DNB local,DRAW_NO_BET HOME,68.9%,0.689400,1.09,-0.25,-0.248600,EV negativo,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-01,11:00,England vs Congo DR,10Bet,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,68.9%,0.688700,4.75,2.27,2.271300,EV positivo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total -10.5,CORNERS_TOTALS UNDER.10.5,68.6%,0.686100,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Visita corners -3.5,CORNERS_AWAY UNDER.3.5,68.5%,0.684600,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,1T -1.5,FIRST_HALF_TOTALS UNDER.1.5,67.5%,0.674600,1.25,-0.16,-0.156800,EV negativo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,65.9%,0.658600,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,65.5%,0.654700,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,64.4%,0.644300,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.8.5,SHOTS_ON_TARGET_TOTAL UNDER.8.5,63.9%,0.638900,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY OVER.0.5,63.2%,0.632100,,,,Sin cuota/EV,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners +5.5,CORNERS_HOME OVER.5.5,60.6%,0.606300,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Tarjetas total -2.5,CARDS_TOTALS UNDER.2.5,58.7%,0.587000,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total +8.5,CORNERS_TOTALS OVER.8.5,56.6%,0.566100,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Corners total -9.5,CORNERS_TOTALS UNDER.9.5,56.5%,0.565500,1.80,0.02,0.017900,EV negativo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,Local corners -6.5,CORNERS_HOME UNDER.6.5,55.3%,0.552900,1.95,0.08,0.078100,EV positivo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-01,11:00,England vs Congo DR,10Bet,TEAM_TOTAL_HOME UNDER.1.5,TEAM_TOTAL_HOME UNDER.1.5,51.8%,0.518500,,,,Sin cuota/EV,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Gana local,1X2 HOME,51.8%,0.518400,2.30,0.19,0.192300,EV positivo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-01,11:00,England vs Congo DR,10Bet,Goles -2.5,TOTALS UNDER.2.5,51.3%,0.513500,1.18,-0.39,-0.394100,EV negativo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-01,11:00,England vs Congo DR,10Bet,Local tarjetas -0.5,CARDS_HOME UNDER.0.5,51.3%,0.513200,,,,Sin cuota/EV,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-01,11:00,England vs Congo DR,10Bet,BTTS sí,BTTS YES,50.7%,0.507000,6.50,2.30,2.295400,EV positivo,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
