fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,99.9%,0.998900,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,102.89,102.895000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,99.6%,0.996200,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,102.62,102.617000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL:OVER_22_5,98.8%,0.988400,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.84,101.844000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL:OVER_24_5,97.0%,0.970400,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,100.04,100.042000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,96.7%,0.966500,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,104.65,104.649000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,SHOTS_TOTAL OVER.26.5,SHOTS_TOTAL OVER.26.5,SHOTS_TOTAL:OVER_26_5,93.5%,0.934800,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,96.48,96.480000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,93.4%,0.934400,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,96.44,96.436000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,93.4%,0.934400,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,96.44,96.436000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,Betano,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,91.6%,0.916100,1.09,,,,,,1.39,0.27,0.273400,0.30,1.27,Sin cuota/EV,EV positivo Betano,Solo modelo,3,111.98,111.982000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
2026-09-08,11:45,AEK Athens FC vs Lask Linz,,,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,88.4%,0.884300,1.13,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,104.43,104.426000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/aek-atenas-linzer-ask/91588005/,torneo actual,torneo actual,2,4.0,0.0,2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E),torneo actual,2,5.0,4.0,2026-08-25 · UEFA Champions League · Lask Linz 5-1 Celtic (G); 2026-08-19 · UEFA Champions League · Celtic 3-0 Lask Linz (P)
