fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,98.1%,0.981000,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.10,101.101000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,96.7%,0.966800,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,99.68,99.684000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,96.7%,0.966500,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,104.65,104.649000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,94.7%,0.947400,1.06,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,97.74,97.740000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,92.1%,0.920800,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,95.08,95.080000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,CARDS_AWAY:UNDER_2_5,92.0%,0.919700,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,94.97,94.970000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,Local corners +3.5,CORNERS_HOME OVER.3.5,CORNERS_HOME:OVER_3_5,91.8%,0.918200,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,107.82,107.823000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,91.6%,0.916100,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,99.61,99.608000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL:OVER_7_5,89.9%,0.899000,1.11,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,92.90,92.899000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
2026-09-11,13:30,Union Berlin vs FC Schalke 04,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,88.9%,0.889300,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,104.93,104.933000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/1-fc-union-berlin-fc-schalke-04/91365405/,torneo actual,torneo actual,2,3.0,7.0,2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E),torneo actual,2,0.0,3.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-30 · Bundesliga · FC Augsburg 3-0 FC Schalke 04 (P)
