fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,97.0%,0.969800,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,99.98,99.980000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,95.2%,0.952300,1.05,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.23,111.227000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Tarjetas total +2.5,CARDS_TOTALS OVER.2.5,CARDS_TOTALS:OVER_2_5,92.6%,0.925900,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,100.59,100.590000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,90.4%,0.903900,1.11,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,93.39,93.394000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Local tarjetas +0.5,CARDS_HOME OVER.0.5,CARDS_HOME:OVER_0_5,89.5%,0.894600,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,92.46,92.460000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,CORNERS_AWAY:UNDER_5_5,88.9%,0.888800,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,104.88,104.881000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,William Hill,Betano,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,87.6%,0.876000,1.14,2.20,0.93,0.927100,1.06,1.93,1.32,0.16,0.156300,0.18,1.16,EV positivo,EV positivo Betano,Seguro,10,157.79,157.787000,Cuota API muy superior a la cuota justa: revisar manualmente antes de apostar,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Visita goles +0.5,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY:OVER_0_5,86.4%,0.864400,1.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,102.44,102.438000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Visita tarjetas +1.5,CARDS_AWAY OVER.1.5,CARDS_AWAY:OVER_1_5,86.4%,0.864100,1.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,89.41,89.411000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,84.4%,0.844400,1.18,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,87.44,87.439000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,William Hill,Betano,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,FIRST_HALF_TOTALS:OVER_0_5,82.6%,0.826200,1.21,1.36,0.12,0.123700,0.15,1.12,1.44,0.19,0.189700,0.23,1.19,EV positivo,EV positivo Betano,Valor,5,122.88,122.884000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Tarjetas total +3.5,CARDS_TOTALS OVER.3.5,CARDS_TOTALS:OVER_3_5,82.5%,0.825100,1.21,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,90.50,90.505000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,CORNERS_TOTALS:UNDER_11_5,81.5%,0.815000,1.23,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,111.50,111.496000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Local corners +3.5,CORNERS_HOME OVER.3.5,CORNERS_HOME:OVER_3_5,81.2%,0.812100,1.23,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,97.21,97.207000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
2026-09-15,12:00,Rayo Vallecano vs Espanyol,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,80.9%,0.809400,1.24,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,83.94,83.943000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/rayo-vallecano-rcd-espanyol/88312222/,torneo actual,torneo actual,4,7.0,10.0,2026-09-05 · La Liga · Rayo Vallecano 3-2 Racing Santander (G); 2026-08-31 · La Liga · Barcelona 5-2 Rayo Vallecano (P); 2026-08-20 · La Liga · Rayo Vallecano 1-1 Alaves (E); 2026-08-15 · La Liga · Sevilla 2-1 Rayo Vallecano (P),torneo actual,4,6.0,5.0,2026-09-06 · La Liga · Espanyol 1-1 Sevilla (E); 2026-08-29 · La Liga · Real Sociedad 2-1 Espanyol (P); 2026-08-22 · La Liga · Espanyol 1-2 Real Madrid (P); 2026-08-16 · La Liga · Espanyol 3-0 Levante (G)
