fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL:UNDER_26_5,100.0%,1.000000,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.00,101.000000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,SHOTS_TOTAL UNDER.24.5,SHOTS_TOTAL UNDER.24.5,SHOTS_TOTAL:UNDER_24_5,100.0%,1.000000,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.00,101.000000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL:UNDER_22_5,100.0%,1.000000,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.00,101.000000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,SHOTS_TOTAL UNDER.20.5,SHOTS_TOTAL UNDER.20.5,SHOTS_TOTAL:UNDER_20_5,100.0%,1.000000,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.00,100.998000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,SHOTS_TOTAL UNDER.18.5,SHOTS_TOTAL UNDER.18.5,SHOTS_TOTAL:UNDER_18_5,100.0%,0.999900,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,100.98,100.985000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,100.0%,0.999600,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,100.96,100.961000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,100.0%,0.999500,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,105.95,105.953000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,Local corners -6.5,CORNERS_HOME UNDER.6.5,CORNERS_HOME:UNDER_6_5,99.9%,0.999000,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,113.90,113.900000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,Betano,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,99.8%,0.997500,1.00,,,,,,1.32,0.32,0.316700,0.32,1.32,Sin cuota/EV,EV positivo Betano,Solo modelo,3,118.81,118.815000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
2026-09-17,11:45,Levski Sofia vs Red Bull Salzburg,,,Local corners -5.5,CORNERS_HOME UNDER.5.5,CORNERS_HOME:UNDER_5_5,99.5%,0.995200,1.00,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,113.52,113.524000,,Betano mapeado,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/pfc-levski-sofia-fc-red-bull-salzburg/91617624/,fallback ultimos partidos,fallback ultimos partidos,10,17.0,10.0,2026-09-13 · First League · Botev Vratsa 0-0 Levski Sofia (E); 2026-09-09 · Super Cup · Levski Sofia 2-4 CSKA Sofia (P); 2026-09-05 · First League · Levski Sofia 1-0 CSKA 1948 (G); 2026-09-02 · First League · Slavia Sofia 1-2 Levski Sofia (G); 2026-08-30 · First League · Botev Plovdiv 1-3 Levski Sofia (G); 2026-08-26 · UEFA Champions League · AEK Athens FC 4-0 Levski Sofia (P); 2026-08-22 · First League · Levski Sofia 6-0 Spartak Varna (G); 2026-08-18 · UEFA Champions League · Levski Sofia 0-0 AEK Athens FC (E); 2026-08-11 · UEFA Champions League · Kairat Almaty 0-1 Levski Sofia (G); 2026-08-07 · First League · Levski Sofia 2-0 Lokomotiv Plovdiv (G),fallback ultimos partidos,10,25.0,7.0,2026-09-11 · Bundesliga · Ried 1-1 Red Bull Salzburg (E); 2026-09-06 · Cup · SKN ST. Polten 0-3 Red Bull Salzburg (G); 2026-09-02 · Bundesliga · Red Bull Salzburg 5-1 Rapid Vienna (G); 2026-08-30 · Bundesliga · Red Bull Salzburg 4-1 Austria Vienna (G); 2026-08-27 · UEFA Europa League · Red Bull Salzburg 3-0 Mjallby AIF (G); 2026-08-20 · UEFA Europa League · Mjallby AIF 0-1 Red Bull Salzburg (G); 2026-08-16 · Bundesliga · WSG Wattens 0-3 Red Bull Salzburg (G); 2026-08-13 · UEFA Europa League · Pafos 3-3 Red Bull Salzburg (E); 2026-08-09 · Bundesliga · Wolfsberger AC 1-1 Red Bull Salzburg (E); 2026-08-06 · UEFA Europa League · Red Bull Salzburg 1-0 Pafos (G)
