fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-18,13:30,Bayern München vs Union Berlin,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,98.8%,0.988000,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,114.80,114.800000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,97.8%,0.977900,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,100.79,100.794000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,CORNERS_AWAY:UNDER_5_5,96.3%,0.963300,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,112.33,112.333000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,Local corners +3.5,CORNERS_HOME OVER.3.5,CORNERS_HOME:OVER_3_5,95.8%,0.957600,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.76,111.762000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,95.2%,0.952000,1.05,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.20,111.197000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,94.4%,0.944100,1.06,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,97.41,97.405000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,94.2%,0.942400,1.06,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,97.24,97.239000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,93.5%,0.934700,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,109.47,109.471000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,93.4%,0.934400,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,96.44,96.436000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,DOUBLE_CHANCE 1X,DOUBLE_CHANCE 1X,DOUBLE_CHANCE:1X,92.5%,0.924700,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,137.47,137.472000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,,,DNB local,DRAW_NO_BET HOME,DRAW_NO_BET:HOME,91.5%,0.914800,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,136.48,136.478000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
2026-09-18,13:30,Bayern München vs Union Berlin,William Hill,,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,90.8%,0.908000,1.10,1.33,0.21,0.207600,0.23,1.21,,,,,,EV positivo,No encontrado en Betano,Seguro,10,149.54,149.538000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-bayern-munchen-1-fc-union-berlin/91562901/,torneo actual,torneo actual,2,5.0,1.0,2026-09-05 · Bundesliga · FC Schalke 04 0-0 Bayern München (E); 2026-08-28 · Bundesliga · Bayern München 5-1 VfB Stuttgart (G),torneo actual,3,4.0,10.0,2026-09-11 · Bundesliga · Union Berlin 1-3 FC Schalke 04 (P); 2026-09-05 · Bundesliga · Bayer Leverkusen 4-0 Union Berlin (P); 2026-08-29 · Bundesliga · Union Berlin 3-3 Eintracht Frankfurt (E)
