fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-19,06:30,Tottenham vs Aston Villa,,,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,98.1%,0.981000,1.02,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.10,101.101000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,96.7%,0.966500,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,104.65,104.649000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,Betano,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,96.0%,0.959500,1.04,,,,,,1.09,0.05,0.045900,0.05,1.05,Sin cuota/EV,EV positivo Betano,Solo modelo,4,120.68,120.683000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,,Local goles -2.5,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME:UNDER_2_5,93.0%,0.929500,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,108.95,108.953000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,92.9%,0.929300,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,95.93,95.926000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,CARDS_HOME:UNDER_2_5,92.0%,0.919700,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,94.97,94.970000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,Betano,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,91.6%,0.916100,1.09,,,,,,1.42,0.30,0.300900,0.33,1.30,Sin cuota/EV,EV positivo Betano,Solo modelo,3,112.42,112.422000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,William Hill,Betano,Goles -3.5,TOTALS UNDER.3.5,TOTALS:UNDER_3_5,90.8%,0.907600,1.10,1.05,-0.05,-0.047100,-0.05,0.95,1.42,0.29,0.288800,0.32,1.29,EV negativo,EV positivo Betano,Equilibrado,10,152.53,152.530000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,,SHOTS_ON_TARGET_TOTAL UNDER.9.5,SHOTS_ON_TARGET_TOTAL UNDER.9.5,SHOTS_ON_TARGET_TOTAL:UNDER_9_5,87.7%,0.877400,1.14,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,90.74,90.738000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
2026-09-19,06:30,Tottenham vs Aston Villa,,,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,86.5%,0.864700,1.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,89.47,89.466000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/tottenham-hotspur-aston-villa/92004647/,torneo actual,torneo actual,4,0.0,5.0,2026-09-12 · Premier League · Tottenham 0-0 Everton (E); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Tottenham 0-2 Newcastle (P); 2026-08-22 · Premier League · Brentford 3-0 Tottenham (P),torneo actual,4,1.0,7.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (P); 2026-09-05 · Premier League · Hull City 0-0 Aston Villa (E); 2026-08-31 · Premier League · Aston Villa 0-1 Arsenal (P); 2026-08-23 · Premier League · Brighton 4-0 Aston Villa (P)
