fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-28,14:00,South Africa vs Canada,10Bet,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME UNDER.2.5,98.2%,0.982400,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita corners +3.5,CORNERS_AWAY OVER.3.5,97.9%,0.978800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Local corners -6.5,CORNERS_HOME UNDER.6.5,97.8%,0.977600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita corners +4.5,CORNERS_AWAY OVER.4.5,94.5%,0.945000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,94.1%,0.941000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,DOUBLE_CHANCE X2,DOUBLE_CHANCE X2,94.0%,0.939600,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-28,14:00,South Africa vs Canada,10Bet,Local corners -5.5,CORNERS_HOME UNDER.5.5,93.9%,0.939200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,93.5%,0.934700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,DNB visita,DRAW_NO_BET AWAY,93.0%,0.929900,1.36,0.26,0.264700,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-28,14:00,South Africa vs Canada,10Bet,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY OVER.0.5,91.7%,0.916800,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-28,14:00,South Africa vs Canada,10Bet,Corners total +7.5,CORNERS_TOTALS OVER.7.5,89.9%,0.899000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,TEAM_TOTAL_HOME UNDER.1.5,TEAM_TOTAL_HOME UNDER.1.5,89.8%,0.897500,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita corners +5.5,CORNERS_AWAY OVER.5.5,88.4%,0.884300,1.67,0.48,0.476800,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,87.2%,0.871500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Local tarjetas +0.5,CARDS_HOME OVER.0.5,86.5%,0.864700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,86.2%,0.862100,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-28,14:00,South Africa vs Canada,10Bet,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,85.8%,0.857600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,85.7%,0.857100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,Local corners -4.5,CORNERS_HOME UNDER.4.5,85.5%,0.855400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Corners total +8.5,CORNERS_TOTALS OVER.8.5,82.8%,0.827900,1.70,0.41,0.407400,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,80.9%,0.808800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,Goles +1.5,TOTALS OVER.1.5,80.6%,0.805600,2.30,0.85,0.852900,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-28,14:00,South Africa vs Canada,10Bet,Gana visita,1X2 AWAY,80.2%,0.801700,3.20,1.57,1.565300,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita corners +6.5,CORNERS_AWAY OVER.6.5,79.3%,0.793200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,77.7%,0.776900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,77.7%,0.776900,1.85,0.44,0.437200,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-06-28,14:00,South Africa vs Canada,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.9.5,SHOTS_ON_TARGET_TOTAL UNDER.9.5,77.6%,0.776400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,76.3%,0.763300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Corners total +9.5,CORNERS_TOTALS OVER.9.5,73.5%,0.735100,1.95,0.43,0.433400,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,72.5%,0.725400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-28,14:00,South Africa vs Canada,10Bet,TEAM_TOTAL_AWAY OVER.1.5,TEAM_TOTAL_AWAY OVER.1.5,71.2%,0.711600,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-28,14:00,South Africa vs Canada,10Bet,Local corners -3.5,CORNERS_HOME UNDER.3.5,70.3%,0.703000,1.67,0.17,0.174100,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-28,14:00,South Africa vs Canada,10Bet,Tarjetas total +2.5,CARDS_TOTALS OVER.2.5,67.9%,0.679200,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
